hs1 29000000 29999999 0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 30000000 30999999 0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 31000000 31999999 0.1667,0.0556,0.0000,0.0556,0.0556,0.0000,0.1111,0.0000,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0556,0.0556,0.0556,0.0556,0.2222
hs1 32000000 32999999 0.0000,0.0500,0.1000,0.0500,0.0000,0.0000,0.0500,0.1000,0.0000,0.0500,0.1500,0.0500,0.1000,0.0000,0.1500,0.0000,0.1000,0.0500,0.0000
hs1 34000000 34999999 0.2000,0.0000,0.1000,0.2000,0.0000,0.1000,0.0000,0.1000,0.0000,0.0000,0.1000,0.0000,0.0000,0.1000,0.1000,0.0000,0.0000,0.0000,0.0000
hs1 35000000 35999999 0.1000,0.1000,0.0000,0.2000,0.2000,0.1000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.1000,0.0000
hs1 36000000 36999999 0.0000,0.0000,0.0000,0.1429,0.0000,0.2143,0.1429,0.0714,0.0000,0.0000,0.0000,0.1429,0.0000,0.0000,0.1429,0.0714,0.0000,0.0000,0.0714
hs1 37000000 37999999 0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.3333,0.0000,0.0000,0.1667,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667
hs1 38000000 38999999 0.1667,0.1667,0.1667,0.0000,0.0000,0.1667,0.1667,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 39000000 39999999 0.0667,0.0667,0.0000,0.1333,0.0000,0.0667,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.1333,0.0000,0.0667,0.1333,0.0000,0.0000
hs1 40000000 40999999 0.0000,0.0556,0.0000,0.1111,0.0556,0.0556,0.0000,0.1667,0.0556,0.0000,0.0000,0.1667,0.0556,0.1111,0.0000,0.0556,0.0556,0.0556,0.0000
hs1 41000000 41999999 0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 42000000 42999999 0.0833,0.0000,0.0000,0.0833,0.0000,0.1667,0.0833,0.0000,0.0000,0.0000,0.1667,0.0000,0.0833,0.0000,0.0000,0.0833,0.1667,0.0000,0.0833
hs1 43000000 43999999 0.0000,0.0000,0.0000,0.0000,0.1250,0.2500,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.1250,0.2500,0.0000,0.0000
hs1 44000000 44999999 0.0000,0.0000,0.1000,0.1000,0.1000,0.0000,0.2000,0.0000,0.0000,0.0000,0.1000,0.1000,0.0000,0.1000,0.1000,0.0000,0.1000,0.0000,0.0000
hs1 45000000 45999999 0.0714,0.0714,0.0000,0.0714,0.0714,0.0000,0.0714,0.0000,0.0714,0.0000,0.0000,0.0714,0.1429,0.2143,0.0714,0.0000,0.0714,0.0000,0.0000
hs1 46000000 46999999 0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
