ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT4_REP1	ZT4_REP2	ZT4_REP3	ZT8_REP1	ZT8_REP2	ZT8_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT16_REP1	ZT16_REP2	ZT16_REP3	ZT20_REP1	ZT20_REP2	ZT20_REP3	GroundTruth
C530047H08Rik	2.23345	2.2435	2.301	2.2524	2.26064	2.20635	2.16949	2.19843	2.20648	2.1883	2.27206	2.34674	2.20931	2.23348	2.30413	2.2616	2.30972	2.33614	0
Tiam2	2.28802	2.33454	2.44026	2.27944	2.52138	2.15561	2.22932	2.3054	2.2413	2.23658	2.36698	2.39224	2.3795	2.10916	2.47546	2.32678	2.31816	2.51137	0
Cldn20	2.15885	2.14071	2.25095	2.23818	2.31322	2.08409	2.04183	2.25242	1.99758	2.06184	2.18187	2.18469	2.07453	1.98953	2.22073	2.11787	2.11158	2.1496	0
1700102H20Rik	2.26521	2.38817	2.29708	2.34034	2.32018	2.3292	2.35939	2.28851	2.25779	2.22926	2.36893	2.2776	2.21643	2.2824	2.1446	2.33734	2.28798	2.27601	0
Gm19404	1.66224	1.75414	1.79452	1.79985	1.83841	1.80957	1.72541	1.70978	1.80607	1.78701	1.83097	1.86926	1.77357	1.77518	1.87395	1.67089	1.79538	1.75756	0
Arid1b	3.10331	3.09357	3.11682	3.10757	3.10005	3.11025	3.09093	3.10184	3.10958	3.11459	3.08577	3.09604	3.09696	3.09108	3.08561	3.11351	3.10193	3.08599	0
Zdhhc14	2.70127	2.86149	2.75706	2.77317	2.78496	2.7766	2.73542	2.70488	2.71915	2.79002	2.80012	2.73323	2.78812	2.81136	2.82092	2.78133	2.75946	2.78326	0
3300005D01Rik	2.20207	2.16543	2.10402	2.12308	2.26222	2.11975	2.19239	2.11112	2.08514	2.09623	2.19321	2.2675	2.05777	2.11443	2.19478	2.12601	2.15118	2.19656	0
Snx9	3.12739	3.08338	3.10501	3.11174	3.10934	3.11682	3.11362	3.07519	3.10221	3.06682	3.13076	3.12796	3.09904	3.09149	3.09702	3.05269	3.10587	3.08713	0
Synj2	2.76488	2.58586	2.65109	2.7089	2.70333	2.69437	2.75886	2.76893	2.72512	2.70557	2.72115	2.76413	2.67615	2.69799	2.63804	2.64145	2.62671	2.68295	0
Gtf2h5	3.17402	3.1167	3.17539	3.12521	3.16086	3.16362	3.13406	3.12024	3.16191	3.14712	3.14809	3.16487	3.15086	3.12758	3.15284	3.15149	3.15566	3.13442	0
Tulp4	2.90881	2.90752	2.90221	2.90106	2.97318	2.90396	2.9208	2.93145	2.94629	2.92355	2.97736	2.9463	2.88153	2.88826	2.90599	2.8672	2.90933	2.90916	0
Tmem181a	2.87889	2.77613	2.92845	2.82372	2.87185	2.92261	2.93066	2.74515	2.98337	3.02791	2.89767	2.80425	2.87362	2.99368	2.83661	2.69494	2.80003	2.87335	0
Dynlt1b	3.01937	3.36974	3.31326	3.1302	3.34474	3.29314	3.29413	3.3045	3.21015	3.33964	2.99273	2.97478	3.30168	3.30418	3.21899	3.27109	3.28813	3.24726	0
Dynlt1f	2.88745	3.19578	3.12917	2.93851	3.16416	3.09661	3.11922	3.13054	3.04801	3.18004	2.85587	2.85319	3.12135	3.13734	3.02524	3.09901	3.10656	3.06801	0
Sytl3	2.2776	2.24082	2.35166	2.36673	2.45743	2.41392	2.41344	2.39877	2.43835	2.51153	2.38306	2.4012	2.47938	2.38484	2.29551	2.33689	2.40267	2.38537	0
Rnaset2b	3.60061	3.60191	3.59259	3.60806	3.5892	3.602	3.61367	3.59951	3.62498	3.62779	3.61202	3.61917	3.61436	3.6176	3.60061	3.60342	3.60055	3.59687	0
Gm1604b	2.4141	2.40766	2.43023	2.42608	2.41198	2.4292	2.36189	2.44212	2.3244	2.37792	2.40185	2.46248	2.4299	2.3501	2.50027	2.44473	2.47119	2.40427	0
Rps6ka2	2.56827	2.62975	2.57243	2.58742	2.63139	2.56898	2.60437	2.53838	2.52271	2.58607	2.55185	2.65535	2.55125	2.56906	2.61646	2.59647	2.50056	2.5686	0
