id	AH063	AH064	AH065	AH066
LmxM.03.0940	50	75	53	84
LmxM.03.0950	1	11	7	5
LmxM.03.0960	772	1124	1393	1224
LmxM.03.0970	40	345	446	474
LmxM.03.0980	27	63	83	53
LmxM.04.0010	17	28	51	25
LmxM.04.0020	75	200	161	273
LmxM.04.0030	313	860	729	755
LmxM.04.0035	217	56	46	39
LmxM.04.0040	215	407	423	400
LmxM.04.0045	18	84	65	97
LmxM.04.0050	1450	1918	1899	2433
LmxM.04.0060	335	514	812	641
LmxM.04.0070	8	32	23	19
LmxM.04.0080	6	10	17	47
LmxM.04.0090	92	134	164	223
LmxM.04.0100	68	155	93	338
LmxM.04.0110	16	40	53	50
LmxM.04.0120	45	118	135	155
LmxM.04.0123	106	579	1036	942
LmxM.04.0127	77	130	145	260
LmxM.04.0130	16	5	0	20
LmxM.04.0180	197	755	479	1200
LmxM.04.0190	73	355	113	615
LmxM.04.0200	6	77	20	137
LmxM.04.0210	54	403	170	600
LmxM.04.0220	1	15	10	16
LmxM.04.0230	39	271	184	381
LmxM.04.0240	148	316	285	445
LmxM.04.0250	42	73	68	107
LmxM.04.0260	41	114	154	210
LmxM.04.0270	59	168	290	246
LmxM.04.0280	523	1807	1935	2819
LmxM.04.0290	90	257	288	370
LmxM.04.0300	14	44	60	94
LmxM.04.0310	31	36	39	106
LmxM.04.0320	43	28	55	104
LmxM.04.0330	5	9	6	139
LmxM.04.0340	4	21	23	73
LmxM.04.0350	4	6	11	20
LmxM.04.0370	247	519	947	1124
LmxM.04.0380	10	16	28	26
LmxM.04.0390	84	362	255	499
LmxM.04.0400	29	238	268	597
LmxM.04.0410	132	368	259	413
LmxM.04.0420	9	15	35	35
LmxM.04.0430	29	63	57	59
LmxM.04.0440	11	43	43	68
LmxM.04.0450	39	207	239	622
LmxM.04.0460	448	969	1271	1447
LmxM.04.0465	13	26	24	43
LmxM.04.0470	3842	7576	7939	8066
LmxM.04.0480	1	6	2	11
LmxM.04.0490	6	11	25	31
LmxM.04.0500	549	728	768	1178
LmxM.04.0510	0	0	0	11
LmxM.04.0520	7	22	28	56
LmxM.04.0530	9	10	18	38
LmxM.04.0540	14	35	44	47
LmxM.04.0550	11	1218	1642	1674
LmxM.04.0560	49	114	88	148
LmxM.04.0570	17	92	133	258
LmxM.04.0580	56	156	373	254
LmxM.04.0590	59	88	91	157
LmxM.04.0600	62	213	200	339
LmxM.04.0610	44	83	105	326
LmxM.04.0620	1797	2540	3058	3762
LmxM.04.0625	615	2396	1721	2694
LmxM.04.0630	8133	10846	14145	8357
LmxM.04.0640	36	77	98	112
LmxM.04.0650	35	103	132	170
LmxM.04.0660	899	4332	4947	7037
LmxM.04.0670	52	74	100	176
LmxM.04.0680	107	190	237	259
LmxM.04.0690	1	44	22	29
LmxM.04.0700	17	57	34	107
LmxM.04.0710	10	35	61	60
LmxM.04.0720	1	18	13	37
LmxM.04.0730	1	2	1	4
LmxM.04.0740	7	16	13	17
LmxM.04.0750	259	704	885	1318
LmxM.04.0760	22	47	76	233
LmxM.04.0770	404	423	503	641
LmxM.04.0780	2	2	2	20
LmxM.04.0790	0	17	18	15
LmxM.04.0800	134	163	168	297
LmxM.04.0810	1	4	7	6
LmxM.04.0820	1	8	13	31
LmxM.04.0830	28	71	86	117
LmxM.04.0840	7	13	12	16
LmxM.04.0850	43	58	119	106
LmxM.04.0860	6	12	15	30
LmxM.04.0870	6	6	13	20
LmxM.04.0890	89	301	284	553
LmxM.04.0910	1	2	1	6
LmxM.04.0920	37	98	122	255
LmxM.04.0930	124	169	238	432
