8e-07	1e-06	6.1	6
0	0	1000	1000
2.45e-10	4.93e-10	9.61	9.31
1.41e-11	3.21e-11	10.85	10.49
1.52e-11	3.43e-11	10.82	10.46
1.05e-18	3.44e-18	17.98	17.46
2.54e-07	3.39e-07	6.6	6.47
9.42e-08	1.34e-07	7.03	6.87
0	0	1000	1000
0	0	1000	1000
3.37e-20	1.15e-19	19.47	18.94
5.25e-05	5.57e-05	4.28	4.25
2.4e-08	3.69e-08	7.62	7.43
5.29e-05	5.61e-05	4.28	4.25
1.02e-08	1.65e-08	7.99	7.78
1.11e-13	2.92e-13	12.96	12.53
1.24e-06	1.51e-06	5.91	5.82
1.28e-07	1.79e-07	6.89	6.75
1.11e-05	1.23e-05	4.95	4.91
6.31e-09	1.06e-08	8.2	7.98
0	0	1000	1000
1.29e-22	4.62e-22	21.89	21.34
2.23e-08	3.44e-08	7.65	7.46
7.47e-08	1.08e-07	7.13	6.97
0.000177	0.000183	3.75	3.74
1.28e-07	1.79e-07	6.89	6.75
1.63e-07	2.24e-07	6.79	6.65
1.3e-10	2.69e-10	9.88	9.57
0	0	1000	1000
0	0	1000	1000
2.42e-08	3.73e-08	7.62	7.43
3.25e-09	5.68e-09	8.49	8.25
1.7e-13	4.44e-13	12.77	12.35
7.05e-07	8.88e-07	6.15	6.05
7.13e-10	1.35e-09	9.15	8.87
0	0	1000	1000
3.84e-06	4.45e-06	5.42	5.35
9.61e-05	1e-04	4.02	4
2.7e-06	3.18e-06	5.57	5.5
1.38e-18	4.5e-18	17.86	17.35
9.77e-05	0.000102	4.01	3.99
6.85e-08	9.93e-08	7.16	7
0.000266	0.000273	3.58	3.56
0.00022	0.000226	3.66	3.65
0	0	1000	1000
2.37e-05	2.57e-05	4.62	4.59
5e-15	1.42e-14	14.3	13.85
0	0	1000	1000
2.41e-14	6.62e-14	13.62	13.18
3.13e-12	7.48e-12	11.5	11.13
3.75e-07	4.91e-07	6.43	6.31
9.02e-09	1.47e-08	8.04	7.83
8.62e-07	1.08e-06	6.06	5.97
0	0	1000	1000
3.25e-28	1.28e-27	27.49	26.89
3.55e-06	4.13e-06	5.45	5.38
6.19e-08	9.02e-08	7.21	7.04
1.48e-07	2.05e-07	6.83	6.69
0	0	1000	1000
1.46e-27	5.67e-27	26.84	26.25
2.51e-22	8.97e-22	21.6	21.05
0.000118	0.000123	3.93	3.91
6.81e-05	7.17e-05	4.17	4.14
0	0	1000	1000
8.3e-05	8.7e-05	4.08	4.06
0.000384	0.000392	3.42	3.41
1.05e-05	1.17e-05	4.98	4.93
0	0	1000	1000
1.67e-36	7.08e-36	35.78	35.15
0	0	1000	1000
2.1e-11	4.7e-11	10.68	10.33
5.45e-09	9.21e-09	8.26	8.04
2.5e-07	3.34e-07	6.6	6.48
5.45e-09	9.21e-09	8.26	8.04
2.17e-08	3.36e-08	7.66	7.47
2.7e-26	1.03e-25	25.57	24.99
1.3e-12	3.19e-12	11.89	11.5
6.46e-36	2.72e-35	35.19	34.57
0	0	1000	1000
3.1e-06	3.63e-06	5.51	5.44
2.97e-10	5.91e-10	9.53	9.23
2.89e-16	8.69e-16	15.54	15.06
4.25e-10	8.29e-10	9.37	9.08
1.15e-06	1.42e-06	5.94	5.85
3.9e-10	7.65e-10	9.41	9.12
7.01e-06	7.91e-06	5.15	5.1
8.5e-20	2.86e-19	19.07	18.54
0	0	1000	1000
2.8e-25	1.06e-24	24.55	23.98
1.86e-09	3.36e-09	8.73	8.47
6.71e-08	9.73e-08	7.17	7.01
4.6e-08	6.82e-08	7.34	7.17
0.000213	0.000219	3.67	3.66
0	0	1000	1000
4.57e-05	4.86e-05	4.34	4.31
0.00133	0.00134	2.88	2.87
2.57e-07	3.43e-07	6.59	6.46
0	0	1000	1000
0	0	1000	1000
5.48e-07	7.02e-07	6.26	6.15
4.17e-08	6.22e-08	7.38	7.21
0	0	1000	1000
0	0	1000	1000
9.75e-07	1.21e-06	6.01	5.92
0	0	1000	1000
0	0	1000	1000
0	0	1000	1000
5.96e-09	1e-08	8.22	8
0	0	1000	1000
0	0	1000	1000
8.01e-14	2.13e-13	13.1	12.67
1.41e-05	1.56e-05	4.85	4.81
4.79e-06	5.49e-06	5.32	5.26
1.99e-09	3.57e-09	8.7	8.45
1.69e-05	1.85e-05	4.77	4.73
2.89e-09	5.09e-09	8.54	8.29
0	0	1000	1000
5.47e-08	8.02e-08	7.26	7.1
1.76e-22	6.32e-22	21.75	21.2
0	0	1000	1000
4.53e-08	6.73e-08	7.34	7.17
1.17e-08	1.88e-08	7.93	7.73
1.81e-13	4.72e-13	12.74	12.33
2.73e-19	9.05e-19	18.56	18.04
2.05e-08	3.18e-08	7.69	7.5
2.92e-10	5.82e-10	9.53	9.24
3.25e-11	7.13e-11	10.49	10.15
2.89e-07	3.84e-07	6.54	6.42
1.03e-06	1.28e-06	5.99	5.89
8.93e-11	1.88e-10	10.05	9.73
5.2e-30	2.08e-29	29.28	28.68
0	0	1000	1000
0	0	1000	1000
0	0	1000	1000
0	0	1000	1000
8.02e-05	8.41e-05	4.1	4.08
1.36e-13	3.56e-13	12.87	12.45
7.91e-05	8.3e-05	4.1	4.08
6.54e-51	2.94e-50	50.18	49.53
0	0	1000	1000
1.54e-08	2.44e-08	7.81	7.61
1.43e-12	3.5e-12	11.84	11.46
3.74e-21	1.31e-20	20.43	19.88
0	0	1000	1000
3.69e-09	6.39e-09	8.43	8.19
7.36e-18	2.35e-17	17.13	16.63
1.19e-08	1.91e-08	7.92	7.72
5.64e-06	6.42e-06	5.25	5.19
2.71e-06	3.19e-06	5.57	5.5
4.46e-06	5.13e-06	5.35	5.29
6.49e-05	6.84e-05	4.19	4.17
0.000126	0.000131	3.9	3.88
4.97e-06	5.69e-06	5.3	5.24
